sample_id	para_id	seq	word_count	missed_claims	note	text
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0014	14	177			Large Language Model (LLM) serving has become a critical cloud workload, and realistic traces are essential for motivating and benchmarking serving systems. However, existing LLM serving workload studies remain limited in scale and scope. They often observe short time periods and provide limited visibility into how users interact with models in production. As a result, they do not fully capture how LLM serving workloads evolve over time or how user-model interactions shape production traffic. In this work, we further the understanding of real-world LLM serving workloads through both a global characterization and a longitudinal study of a one-year production trace from CompanyX. Unlike prior studies, our trace captures full production behavior across many models and users, including both popular and long-tail models. We analyze the workload from aggregate, temporal, model-level, and user-level perspectives, revealing workload evolution and user-model structure that are typically hidden behind aggregate views. To support future research, we publicly release the full one-year trace, enabling downstream studies of production behavior without relying on sampled or synthetically generated workloads. The trace is available at https://github.com/HarvardMadSys/chutes_workload.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0016	16	130			CCS Concepts • Computer systems organization → Cloud computing; • Computing methodologies → Machine learning. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. Conference’17, Washington, DC, USA © 2026 Copyright held by the owner/author(s). Publication rights licensed to ACM. ACM ISBN 978-1-4503-XXXX-X/2026/04 https://doi.org/XXXXXXX.XXXXXXX
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0017	17	36			ACM Reference Format: William Nixon, Jon Durbin, Florian Standhartinger, Haryadi S. Gunawi, and Juncheng Yang. 2026. A Year in LLM Serving: Workload Evolution, Caching and Load-Balancing. In . ACM, New York, NY, USA, 16 pages. https://doi.org/XXXXXXX.XXXXXXX
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0037	37	122			2 Background 2.1 LLM Inference LLM inference consists of two main phases: prefill and decode. In the prefill phase, the serving system processes the input prompt and builds the request’s key-value (KV) cache. In the decode phase, the model generates output tokens autoregressively, using the KV cache from previous tokens. Thus, the cost of a request depends on both input tokens and output tokens: input length mainly affects prefill cost, while output length affects how long the request occupies decode iterations. This distinction matters for workload analysis. Request arrivals affect batching and queueing, input tokens affect prefill pressure, output tokens affect decode pressure, and cached tokens indicate how much prompt work can be avoided through prefix-cache reuse. Therefore, our trace focuses on
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0047	47	240			Understanding LLM workloads is essential for designing practical serving systems. Properties such as request arrivals, token lengths, and user behavior directly shape decisions around batching, scheduling, caching, routing, and autoscaling. Motivated by this need, prior work has studied and released LLM workloads from several complementary angles. Public multi-turn datasets capture real conversational behavior [33, 34], while production studies examine specific serving phenomena such as KV-cache reuse and inferencesystem behavior [17, 18, 22]. Other work focuses more directly on broader production workload characterization, including request dynamics and user-level structure [24, 25]. Table 1 summarizes prior workload-analysis studies and the traces or public workload artifacts they release. However, existing public artifacts remain limited for downstream workload analysis. Some traces are sampled, some remove fields such as user identifiers even when those fields are used in the original study, and others release synthetic generators rather than full request-level production traces. These limitations make it difficult to independently study long-term workload evolution, user–model interactions, or faithful inter-arrival behavior due to sampling. To address this gap, we release and analyze a one-year production trace containing 6.12 billion requests across 9,174 models. The trace retains anonymized user identifiers, serving-instance identifiers, and serving-side signals such as TTFT and cached-token counts. This combination enables a longitudinal and fine-grained study of production LLM serving: we examine how workloads evolve over time, how users and models interact, how prefix reuse emerges, and how these behaviors shape routing and load-balancing decisions.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0061	61	55			Aggregate demand is non-stationary. Production demand changes over both long and short timescales. Figure 1a shows that daily request volume rises through mid-2025, peaks around late summer and fall, and then declines into early 2026. Figure 1b shows that daily token volume follows a similar but not identical trend: it grows quickly early in the
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0110	110	31			Figure 1: Daily request volume, token volume, active models, and API mix evolve differently over the year, showing that production load is non-stationary and cannot be summarized by request count alone.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0125	125	26			trace, remains elevated for much of the year, and drops more sharply near the end. Similar request volumes can therefore represent different amounts of serving work.
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0178	178	22			Figure 3: Latency behavior of the aggregate workload and three representative models. Models spend most proportion of their time doing decode. 8000
elusion-workload__year-in-llm-serving-8b8cc779427e	codex_raw#0210	210	62			Aggregate workload statistics do not fully describe how individual users and models contribute to production traffic. We therefore examine the workload at finer granularity along two dimensions. First, we characterize the differences of users and models that may have similar request volumes (Section 4.1). Second, we study their access behavior, including recurring usage patterns and arrival burstiness (Section 4.2 and Section 4.3).
